repo_name,repo_description,repo_language,repo_created_at,repo_updated_at
.github,,,2019-02-18T18:59:22Z,2024-10-07T21:33:10Z
ads-advanced-tools-docs,Code samples and supplements for the Amazon Ads advanced tools center,Jupyter Notebook,2022-05-16T19:49:03Z,2024-10-09T07:27:26Z
ads-pao-amznjs-gtm-template,,Smarty,2023-08-02T23:41:56Z,2024-09-05T08:32:25Z
alexa-coho,Sample code for building skill adapters for Alexa Connected Home using the Lighting API,JavaScript,2015-08-20T20:42:31Z,2024-07-11T01:03:40Z
alexa-skills-kit-js, SDK and example code for building voice-enabled skills for the Amazon Echo. ,,2015-07-21T21:46:48Z,2024-08-04T00:31:19Z
amazon-ads-advertiser-audience-normalization-sdk-py,,Python,2022-05-23T17:59:56Z,2024-05-30T21:19:04Z
amazon-advertising-api-php-sdk,⛔️ DEPRECATED - Amazon Advertising API PHP Client Library,PHP,2016-06-16T18:16:46Z,2024-09-14T07:43:36Z
amazon-codeguru-profiler-for-spark,A Spark plugin for CPU and memory profiling,Java,2021-11-18T04:37:55Z,2024-10-01T18:04:47Z
amazon-frustration-free-setup-certification-tool,Python-based automation scripts which can run device provisioning performance test,Python,2021-08-18T00:30:56Z,2023-11-08T03:38:49Z
amazon-hub-counter-api-docs,,CSS,2019-12-02T17:30:48Z,2023-10-26T10:35:13Z
amazon-hub-counter-api-samples,,Java,2019-09-26T20:14:36Z,2024-07-13T00:52:36Z
amazon-hub-counter-sdk-java,The Amazon Hub Counter SDK for Java enables Java developers to easily work with the Amazon Hub Counter API and manage Amazon pickup locations.,Java,2019-09-26T20:11:19Z,2023-11-14T03:54:55Z
amazon-hub-support,,PowerShell,2021-05-19T09:24:57Z,2023-07-13T18:51:01Z
amazon-instant-access-sdk-java,Java SDK to aid in 3p integration with Instant Access ,Java,2015-06-03T22:59:11Z,2023-07-12T19:45:00Z
amazon-instant-access-sdk-net,Amazon Instant Access .Net SDK,C#,2016-02-19T07:19:52Z,2024-05-17T16:44:22Z
amazon-instant-access-sdk-php,PHP SDK to aid in 3p integration with Instant Access ,PHP,2015-06-03T22:58:39Z,2023-07-16T20:26:19Z
amazon-instant-access-sdk-ruby,Ruby SDK to aid in third-party integration with Instant Access,Ruby,2017-03-24T19:01:15Z,2024-05-17T16:45:54Z
amazon-launcher-integration-cordova-plugin,"The Cordova plugin for Fire TV Launcher Integration makes it possible to integrate your HTML5 webapp with the Fire TV launcher. After integrating with the Fire TV Catalog, this plugin enables users to launch content in your app directly from search.",JavaScript,2018-03-13T16:06:32Z,2024-04-24T15:31:21Z
amazon-marketing-stream-examples,Amazon Marketing Stream reference implementation using AWS CDK,Python,2023-02-15T21:33:26Z,2024-10-07T01:46:39Z
amazon-mcf-plugin-for-magento-1,Plugin code to enable Amazon MCF in Magento 1.,PHP,2017-12-05T20:13:52Z,2024-05-17T16:46:52Z
amazon-multi-token-completion,,Python,2023-02-01T07:56:49Z,2024-08-09T18:58:38Z
amazon-nearest-neighbor-through-ecc,,Jupyter Notebook,2023-02-08T11:30:01Z,2023-09-01T20:10:34Z
amazon-pay-api-sdk-dotnet,Amazon Pay API SDK (.NET),C#,2019-08-28T22:27:25Z,2024-07-13T00:52:36Z
amazon-pay-api-sdk-java,Amazon Pay API SDK (Java),Java,2019-08-26T16:55:21Z,2024-08-07T08:56:37Z
amazon-pay-api-sdk-nodejs,Amazon Pay API SDK (Node.js),JavaScript,2020-04-24T17:15:24Z,2024-09-13T03:05:27Z
amazon-pay-api-sdk-php,Amazon Pay API SDK (PHP),PHP,2019-06-27T22:23:16Z,2024-10-04T19:31:24Z
amazon-pay-api-sdk-ruby,,Ruby,2024-07-31T06:15:43Z,2024-09-06T08:58:33Z
amazon-pay-sdk-csharp,Amazon Pay C# SDK,C#,2014-12-06T01:01:38Z,2024-07-13T00:52:34Z
amazon-pay-sdk-java, Amazon Pay Java SDK,Java,2014-12-05T18:51:43Z,2024-09-09T14:17:34Z
amazon-pay-sdk-php,Amazon Pay PHP SDK,PHP,2014-11-07T18:00:47Z,2024-09-17T15:30:38Z
amazon-pay-sdk-python,Amazon Pay Python SDK,Python,2015-01-23T23:00:34Z,2024-09-13T03:04:52Z
amazon-pay-sdk-ruby,Amazon Pay Ruby SDK ,Ruby,2015-01-26T18:56:59Z,2024-07-13T00:52:34Z
amazon-pay-sdk-samples,Amazon Pay SDK Sample Code,PHP,2015-04-01T23:52:35Z,2024-06-11T16:39:13Z
amazon-payment-files-tools,Development kit designed to assist with the process of generating and validating proper dispute and remittance files.,Kotlin,2020-08-07T22:14:01Z,2023-07-15T20:07:10Z
amazon-payments-magento-2-plugin,Extension to enable Amazon Pay on Magento 2,PHP,2016-05-27T18:00:03Z,2024-09-30T10:13:32Z
amazon-ray,Staging area for ongoing enhancements to Ray focused on improving integration with AWS and other Amazon technologies.,Python,2021-01-21T22:18:15Z,2024-06-04T22:15:39Z
amazon-s3-gst-plugin,A collection of Amazon S3 GStreamer elements.,C,2019-05-15T17:33:53Z,2024-07-31T00:21:13Z
amazon-sidewalk-android-samples,Sidewalk Mobile SDK is for mobile developers who want to build customized Sidewalk applications.,,2023-03-03T03:49:07Z,2024-10-12T18:32:27Z
amazon-sidewalk-ios-samples,Sidewalk Mobile SDK is for mobile developers who want to build customized Sidewalk applications. ,Swift,2023-03-03T05:28:13Z,2024-10-13T18:10:45Z
amazon-succinct-doc-representation,,Python,2022-03-03T09:56:51Z,2024-10-06T08:01:31Z
amazon-template-library,A collection of general purpose C++ utilities that play well with the Standard Library and Boost.,C++,2018-04-20T17:31:06Z,2024-01-14T18:09:02Z
amazon-weak-ner-needle,Named Entity Recognition with Small Strongly Labeled and Large Weakly Labeled Data,Python,2021-07-04T09:40:16Z,2024-09-17T15:31:03Z
amigitenough,,Go,2021-05-21T04:06:08Z,2024-03-01T23:15:16Z
amzn-drivers,Official AWS drivers repository for Elastic Network Adapter (ENA) and Elastic Fabric Adapter (EFA),C,2016-02-23T20:59:03Z,2024-10-07T15:07:19Z
amzn-ec2-ena-utilities,,Python,2020-10-26T13:15:33Z,2024-05-31T07:51:29Z
armbench,,Python,2024-03-05T02:16:05Z,2024-06-20T02:17:33Z
auction-gym,AuctionGym is a simulation environment that enables reproducible evaluation of bandit and reinforcement learning methods for online advertising auctions.,Jupyter Notebook,2022-06-23T18:04:40Z,2024-10-01T22:53:18Z
augment-the-pairs-wacv2024,,Python,2023-11-01T22:32:18Z,2024-05-07T16:53:40Z
autotrail,"AutoTrail is a highly modular, partial automation workflow engine providing run time execution control",Python,2017-12-20T04:05:43Z,2023-07-15T20:07:50Z
aws-apigateway-client-lib,,,2020-11-16T12:20:29Z,2023-07-16T20:25:28Z
aws-sigv4-signing-samples,This package contains sample code demonstrating SigV4 signing using AWS Java SDK.,Java,2022-06-02T18:20:59Z,2024-05-16T20:30:45Z
awsssmchaosrunner,Amazon's light-weight library for chaos engineering on AWS. It can be used for EC2 and ECS (with EC2 launch type).,Kotlin,2020-06-08T16:21:19Z,2024-09-29T13:38:57Z
basis-point-sets,,Python,2019-11-08T00:14:27Z,2024-10-02T14:28:17Z
BayesPE,Zero-shot and in-context learning classification with LLMs and uncertainty estimation using multiple prompts.,Python,2024-07-31T09:21:49Z,2024-08-11T16:14:05Z
buy-with-prime-automate-tenant-validation,,JavaScript,2023-07-18T03:54:59Z,2024-07-04T12:09:06Z
buy-with-prime-cdk-constructs,This package extends common CDK constructs with opinionated defaults to help create an organization strategy around infrastructure as code.,TypeScript,2023-10-26T02:19:46Z,2024-09-16T05:47:37Z
buy-with-prime-event-accelerator,,Python,2023-09-11T18:20:28Z,2023-12-29T01:02:22Z
buy-with-prime-monitoring-sample-cdk,,TypeScript,2023-11-15T21:16:13Z,2024-06-20T13:54:39Z
buy-with-prime-oauth-handler-ec2,,JavaScript,2023-06-21T20:47:32Z,2023-12-29T01:02:55Z
buy-with-prime-saas-integration,,TypeScript,2023-06-09T21:41:46Z,2024-08-14T22:55:50Z
chalet-charging-location-for-electric-trucks,Optimization tool to identify charging locations for electric trucks,Python,2023-04-12T16:06:50Z,2024-09-15T14:47:15Z
computer-vision-basics-in-microsoft-excel,Computer Vision Basics in Microsoft Excel (using just formulas),,2020-02-07T18:55:11Z,2024-09-26T07:27:57Z
confident-sinkhorn-allocation,Pseudo-labeling for tabular data,Jupyter Notebook,2022-07-19T18:06:40Z,2024-09-10T01:00:41Z
convolutional-handwriting-gan,ScrabbleGAN: Semi-Supervised Varying Length Handwritten Text Generation (CVPR20),Python,2020-05-31T21:17:42Z,2024-10-11T16:04:05Z
cosearcher,,Python,2021-12-14T19:44:04Z,2023-07-13T18:51:13Z
credence-to-causal-estimation,A framework for generating complex and realistic datasets for use in evaluating causal inference methods.,Python,2020-10-23T17:56:33Z,2024-06-27T05:24:27Z
data-jack-knife,,Java,2022-05-19T23:08:45Z,2023-07-13T19:44:06Z
debiased-balanced-interleaving,,Jupyter Notebook,2022-08-16T21:00:03Z,2023-07-12T19:48:04Z
differential-privacy-bayesian-optimization,"This repo contains the underlying code for all the experiments from the paper: ""Automatic Discovery of Privacy-Utility Pareto Fronts""",Python,2020-04-03T18:45:17Z,2024-08-02T12:50:45Z
distance-assistant,Pedestrian monitor that provides visual feedback to help ensure proper social distancing guidelines are being observed,Python,2020-06-19T17:51:29Z,2024-09-23T17:21:14Z
drs-sample-android-app,ARCHIVED: A sample DRS companion application demonstrating how to use LWA and DRS API endpoints. ,Java,2018-07-20T21:17:03Z,2023-07-16T20:20:52Z
drs-sample-ios-app,ARCHIVED: A sample DRS companion application demonstrating how to use LWA and DRS API endpoints. ,Objective-C,2018-07-20T21:17:37Z,2023-07-16T20:21:27Z
emukit-playground,A web page explaining concepts of statistical emulation and making decisions under uncertainty in an interactive way. ,JavaScript,2018-09-04T05:02:55Z,2023-07-16T20:22:36Z
eslint-plugin-no-date-parsing,Disallow string parsing with new Date and Date.parse.,TypeScript,2021-07-30T20:11:02Z,2024-07-09T11:57:29Z
